start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng
Bradley Ave & Greenpoint Ave,Broadway & Whipple St,3,40.73565914819229,-73.93478840589523,40.7016657,-73.9437303
Old Fulton St,Kingston Ave & Park Pl,2,40.70277159,-73.99383605,40.67308,-73.94191
Parkside Ave & Parade Pl,Plaza St East & Flatbush Ave,118,40.6532,-73.96639,40.673134,-73.969106
Ft. Hamilton Pkwy & E 2 St,6 Ave & 55 St,5,40.648005,-73.979342,40.640831,-74.010996
Greenwich St & Rector St,Graham Ave & Withers St,3,40.70806582380646,-74.0135595202446,40.7169811,-73.94485918
E 17 St & 2 Ave,St Nicholas Ave & W 134 St,2,40.734443188,-73.984071136,40.816234,-73.948222
Pinehurst Ave & W 187 St,E 84 St & 1 Ave,3,40.855240583,-73.937902808,40.77565541,-73.95068615
E 16 St & Cortelyou Rd,Columbia St & W 9 St,5,40.641748905,-73.963624835,40.6769993,-74.00647134
Washington Ave & Empire Blvd,John St & William St,1,40.66314,-73.9605695,40.70862144,-74.00722156
E 123 St & Lexington Ave,Central Park West & W 68 St,5,40.8029263,-73.9379,40.7734066,-73.97782542
Stockholm St & Wilson Ave,DeKalb Ave & Franklin Ave,47,40.699381948,-73.922830224,40.69064807082943,-73.95746178925037
E 167 St & Bryant Ave,Broadway & W 160 St,1,40.826785803,-73.888575315,40.835775,-73.9434
Stewart Ave & Johnson Ave,53 St & Roosevelt Ave,4,40.70869,-73.92587,40.74462,-73.91143
Sigourney St & Columbia St,44 St & 6 Ave,3,40.672755957,-74.009055138,40.647105,-74.004483
Amsterdam Ave & W 175 St,W 36 St & 7 Ave,1,40.844044,-73.933651,40.752149,-73.989539
W 106 St & Amsterdam Ave,West St & Chambers St,36,40.8008363,-73.9664492472,40.71754834,-74.01322069
Summerfield St & Cypress Ave,Clinton St & Grand St,2,40.696525574,-73.900657415,40.71559509,-73.9870295
Park Pl & Franklin Ave,Greene Ave & Throop Ave,26,40.6741806,-73.9564947,40.6894932,-73.942061
18 St & 27 Ave,E 44 St & Lexington Ave,9,40.772572756,-73.927370667,40.752643,-73.974996
Plaza St East & Flatbush Ave,Forsyth St & Broome St,7,40.673179746,-73.969145536,40.71893904,-73.99266288
Columbia St & Rivington St,Humboldt St & Varet St,3,40.71739912,-73.980182528,40.7031724,-73.940636
Grand Army Plaza & Central Park S,Astoria Park S & Shore Blvd,1,40.764330387,-73.973945856,40.7767,-73.927631
Stuyvesant Ave & Gates Ave,Lafayette St & Jersey St,2,40.688373208,-73.933134913,40.72456089,-73.99565293
Broadway & Morris St,Bleecker St & Crosby St,105,40.706355214,-74.01322782,40.72615604980408,-73.99510189890862
5 St & Market St,Great Jones St,2,40.699968934,-73.974680066,40.72743423,-73.99379025
Greene Ave & Throop Ave,Market St & Henry St,1,40.6894932,-73.942061,40.71310702305908,-73.99446353316307
5 Ave & E 103 St,W 16 St & The High Line,5,40.792052388,-73.952851176,40.74334935,-74.00681753
43 St & 35 Ave,N 10 St & Berry St,2,40.754311919,-73.919432402,40.720253,-73.957082
Washington Pl & 6 Ave,Warren St & W Broadway,47,40.732184172,-74.000214338,40.71473993,-74.00910627
Franklin Ave & Myrtle Ave,State St & Smith St,11,40.694591761,-73.958139062,40.68917,-73.9886
Rogers Ave & Lincoln Rd,Kingston Ave & Carroll St,6,40.661248565,-73.953533649,40.66688,-73.9425
Pitt St & Stanton St,11 Ave & W 27 St,5,40.719210148,-73.981800079,40.751396,-74.005226
Bergen St & Vanderbilt Ave,Union Ave & Jackson St,29,40.6794388,-73.9680438,40.7160751,-73.952029
E 33 St & 1 Ave,Elmhurst Ave & Forley St,1,40.74322681432173,-73.97449783980846,40.74615,-73.87763
Ocean Ave & Crooke Ave,36 St & 4 Ave,2,40.653441787,-73.961573601,40.654144,-74.00422
Sharon St & Olive St,Canal St & Rutgers St,12,40.715351105,-73.93839097,40.71427487,-73.98990025
19 St & 24 Ave,50 St & Northern Blvd,9,40.7774552,-73.9225403,40.753441,-73.912402
Bushwick Ave & Powers St,Wilson Ave & Moffat St,5,40.71233511,-73.940983415,40.68906,-73.90506
E 171 St & Webster Ave,W Tremont Ave & Montgomery Ave,3,40.83838141,-73.905800581,40.851788,-73.916418
3 St & Hoyt St,Willoughby Ave & Tompkins Ave,2,40.6777287,-73.99364123,40.69425403,-73.94626915
E 3 St & 1 Ave,Adams St & Prospect St,3,40.724636793,-73.98818934,40.70076308326151,-73.98869812488556
Stockholm St & Wilson Ave,E 5 St & Ave A,1,40.699381948,-73.922830224,40.72479007746337,-73.98430064320564
Coffey St & Ferris St,3 Ave & Wakeman Pl,2,40.67818387977647,-74.0170168876648,40.638246,-74.024714
Amsterdam Ave & W 79 St,E 2 St & 2 Ave,9,40.783249497,-73.978622198,40.72502876,-73.99069656
E 3 St & 1 Ave,Lewis Ave & Kosciuszko St,3,40.724636793,-73.98818934,40.69237074,-73.93705428
River Ave & McClellan St,Mount Eden Pkwy & Eastburn Ave,6,40.834099174,-73.922465682,40.842675,-73.908544
Macon St & Lewis Ave,Union St & Bedford Ave,13,40.68282,-73.93488,40.6691783,-73.9554162
Rockaway Ave & Bainbridge St,Water St &  Fletcher St,1,40.683312535,-73.911677122,40.706410755236135,-74.00559738278389
W 106 St & Amsterdam Ave,7 Ave & Central Park South,121,40.8008363,-73.9664492472,40.7667405590595,-73.9790689945221
Central Park North & Adam Clayton Powell Blvd,Suffolk St & Stanton St,4,40.799484,-73.955613,40.72066442,-73.98517977
11 Ave & Prospect Ave,Jay St & York St,2,40.65629,-73.977335,40.70140317257725,-73.98672670125961
Driggs Ave & N Henry St,Riverside Dr & W 78 St,1,40.723228812,-73.943005681,40.78414472,-73.98362492
Palmetto St & Traffic Ave,Union Ave & N 12 St,3,40.70929,-73.89441,40.71924,-73.95242
Suffolk St & Stanton St,Henry St & Degraw St,3,40.720575213,-73.985178351,40.6847514,-73.99917254
W 43 St & 10 Ave,Bushwick Ave & Furman Ave,3,40.760159373,-73.994736791,40.68281,-73.90623
W 21 St & 6 Ave,Jefferson St & Cypress Ave,2,40.74173969,-73.99415556,40.70907,-73.92157
Clinton St & Cherry St,Leonard St & Maujer St,14,40.711471394469264,-73.98672603070736,40.7103685423523,-73.94705951213837
27 St & Hunter St,8 St & Astoria Blvd,20,40.7339816,-73.95196175,40.7725996921817,-73.93266275525093
Bank St & Hudson St,John St & William St,22,40.736521482,-74.006094813,40.70862144,-74.00722156
W 87 St & Amsterdam Ave,W 104 St & Amsterdam Ave,394,40.788469791,-73.97492528,40.79904139288298,-73.96649479866028
Pacific St & Nevins St,Lawrence St & Willoughby St,124,40.6853761,-73.98302136,40.69236178,-73.98631746
Ditmars Blvd & 48 St,34th Ave & Vernon Blvd,3,40.769219,-73.901001,40.76535380385866,-73.93986314535141
Nassau Ave & Newell St,Greenwich Ave & Charles St,1,40.724812564400175,-73.94752621650696,40.735238,-74.000271
W 24 St & 7 Ave,Lafayette St & Grand St,68,40.74487634,-73.99529885,40.72028,-73.99879
Cathedral Pkwy & Broadway,St Marks Pl & 2 Ave,4,40.804301977,-73.96718359,40.7284186,-73.98713956
S 4 St & Rodney St,Eastern Pkwy & Kingston Ave,3,40.709375739,-73.956113458,40.66959,-73.94237
31 St & Thomson Ave,Division Ave & Hooper St,1,40.74469738,-73.93540375,40.70684203101325,-73.9544353965357
9 Ave & W 39 St,Central Park W & W 97 St,26,40.756261945,-73.994197488,40.79249519495111,-73.96417066463071
Putnam Ave & Knickerbocker Ave,Park Pl & Franklin Ave,5,40.695423722,-73.911662459,40.6741806,-73.9564947
W 15 St & 7 Ave,7 Ave & 20 St,4,40.73935542,-73.99931783,40.659053,-73.98854
Dean St & Rockaway Ave,Rivington St & Chrystie St,2,40.674828053,-73.911303043,40.72110063,-73.9919254
2 Av & 37 St,2 Ave & 36 St,15,40.656326,-74.009627,40.65708866668485,-74.00870203971863
Broadway & Berry St,Rogers Ave & Lincoln Rd,4,40.710395098,-73.965435743,40.66127,-73.95352
Lewis Ave & Madison St,Thomas S. Boyland St & Marion St,5,40.68622458,-73.935762763,40.6814658848122,-73.91415685415268
Van Dam St & Meeker Ave,Degraw St & Hoyt St,1,40.725432277,-73.936857343,40.68199044270703,-73.99079024791718
W 53 St & 10 Ave,Mott St & Prince St,32,40.76669671,-73.99061728,40.72317958,-73.99480012
7 Ave & Central Park South,Pillar E 41 St & Madison Ave (SE Corner),2,40.766462564,-73.9791646,40.7521,-73.97968
36 St & 3 Ave,E 3 St & Church Ave,6,40.655890226,-74.006883383,40.643817,-73.977433
1 Ave & E 94 St,Tiebout Ave & E 184 St,4,40.7817212,-73.94594,40.858498,-73.89637
60 Pl & Linden St,Vesey St & Church St,1,40.708690882,-73.901781797,40.71221958009051,-74.01047229766846
E 82 St & East End Ave,36 St & 47 Ave,1,40.772619367,-73.946921349,40.74221834996096,-73.92935156822205
1 Ave & E 68 St,3 Ave & Franklin Ave,2,40.765139461,-73.95811069,40.82696,-73.907451
Shakespeare Ave & W 169 St,FDR Drive & E 35 St,2,40.839512467,-73.922474146,40.744219,-73.97121214
Broadway & Morris St,W 37 St & Broadway,10,40.706355214,-74.01322782,40.75227093837409,-73.98770570755005
E 1 St & Bowery,Old Fulton St,10,40.72476685,-73.99219799,40.70277159,-73.99383605
E 30 St & Park Ave S,8 Ave & W 16 St,52,40.744442701,-73.983003855,40.740983,-74.001702
14 St & 5 Ave,Suydam St & St. Nicholas Ave,2,40.666405439,-73.989104271,40.70636,-73.91945
5 Ave & 41 St,2 Ave & E 31 St,1,40.649983,-74.005144,40.74299,-73.97711
E 9 St & Avenue C,1 Ave & E 18 St,114,40.725150347,-73.97761178,40.73381219196632,-73.98054420948029
E 97 St & 3 Ave,38 St & 30 Ave,1,40.7859201,-73.94860294,40.764174520197685,-73.91583994030952
27 St & Hunter St,Roebling St & N 4 St,7,40.7339816,-73.95196175,40.71469,-73.95739
W 56 St & 6 Ave,36 St & 3 Ave,10,40.763491511,-73.977682948,40.655716,-74.006664
50 St & Northern Blvd,55 Dr & Maurice Ave,1,40.753584027,-73.912268996,40.7261,-73.90917
E 20 St & FDR Dr,Wilson Ave & Troutman St,4,40.733222723,-73.976031542,40.70166,-73.92754
21 St & 31 Dr,E 16 St & Irving Pl,1,40.765814185,-73.931052685,40.735367055605394,-73.98797392845154
Stagg St & Morgan Ave,Sterling Pl & Rochester Ave,3,40.71066761,-73.933705926,40.67128,-73.92825
E 72 St & Park Ave,Carroll St & 5 Ave,3,40.77146852,-73.964565396,40.6751622,-73.9814832
Menahan St & Wyckoff Ave,E 19 St & 3 Ave,1,40.701102257,-73.914266348,40.73624527,-73.98473765
West Farms Rd & Boone Ave,Washington Ave & E 167 St,4,40.830278397,-73.886189818,40.829896,-73.907618
Carroll St & Washington Ave,Johnson St & Gold St,3,40.668667436,-73.961723685,40.69474881,-73.98362464
W 54 St & 9 Ave,Greenwich St & W Houston St,42,40.76584941,-73.98690506,40.728846,-74.008591
Broadway & W 51 St,Pillar E 41 St & Madison Ave (SE Corner),1,40.762129784,-73.983741999,40.7521,-73.97968
E 34 St & Linden Blvd,Parkside Ave & Flatbush Ave,3,40.653006673,-73.945947051,40.65563,-73.95968
Church Ave & Story St,7 Ave & 40 St,24,40.642008424,-73.981026292,40.648169,-74.000057
Beaver St & Fayette St,W 42 St & 6 Ave,3,40.70099,-73.93921,40.75492,-73.98455
Pearl St & York St,Lewis Ave & Kosciuszko St,2,40.70140463410644,-73.98768022656441,40.69237074,-73.93705428
